"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"BOOKER T. WASHINGTON ES","Illinois","Champaign","Thomasboro","Champaign-Urbana, IL","40.244913","-88.188519","0.062","2014-06-06 11:00"
"ISWS CLIMATE STATION","Illinois","Champaign","","Champaign-Urbana, IL","40.052242","-88.372549","0.068","2014-05-31 10:00"
"416 S. State St. Hwy 1- West Union","Illinois","Clark","","","39.210857","-87.668297","0.063","2014-06-06 10:00"
"VILLAGE GARAGE","Illinois","Cook","Alsip","Chicago-Naperville-Joliet, IL-IN-WI","41.670992","-87.732457","0.066","2014-04-20 11:00"
"SOUTH WATER FILTRATION PLANT","Illinois","Cook","Chicago","Chicago-Naperville-Joliet, IL-IN-WI","41.755832","-87.54535","0.067","2014-05-31 13:00"
"COM ED MAINTENANCE BLDG","Illinois","Cook","Chicago","Chicago-Naperville-Joliet, IL-IN-WI","41.7514","-87.713488","0.067","2014-04-20 11:00"
"TAFT HS","Illinois","Cook","Chicago","Chicago-Naperville-Joliet, IL-IN-WI","41.984332","-87.792002","0.065","2014-05-31 11:00"
"COOK COUNTY TRAILER","Illinois","Cook","Lemont","Chicago-Naperville-Joliet, IL-IN-WI","41.66812","-87.99057","0.07","2014-05-25 10:00"
"IEPA TRAILER","Illinois","Cook","Schiller Park","Chicago-Naperville-Joliet, IL-IN-WI","41.965193","-87.876265","0.063","2014-05-31 10:00"
"COOK COUNTY TRAILER","Illinois","Cook","Cicero","Chicago-Naperville-Joliet, IL-IN-WI","41.855243","-87.75247","0.063","2014-07-26 11:00"
"REGIONAL OFFICE BUILDING","Illinois","Cook","Des Plaines","Chicago-Naperville-Joliet, IL-IN-WI","42.060285","-87.863225","0.069","2014-08-02 10:00"
"NORTHBROOK WATER PLANT","Illinois","Cook","Northbrook","Chicago-Naperville-Joliet, IL-IN-WI","42.139996","-87.799227","0.065","2014-05-20 10:00"
"WATER PLANT","Illinois","Cook","Evanston","Chicago-Naperville-Joliet, IL-IN-WI","42.061857","-87.674167","0.072","2014-05-26 10:00"
"MORTON ARBORETUM","Illinois","DuPage","Lisle","Chicago-Naperville-Joliet, IL-IN-WI","41.813049","-88.072827","0.064","2014-06-22 12:00"
"CENTRAL JR HIGH","Illinois","Effingham","","Effingham, IL","39.067159","-88.548934","0.063","2014-06-08 08:00"
"TEN MILE CREEK DNR OFFICE","Illinois","Hamilton","","Mount Vernon, IL","38.082155","-88.624943","0.063","2014-04-19 10:00"
"ILLINI JR HIGH","Illinois","Jersey","Jerseyville","St. Louis, MO-IL","39.110539","-90.32408","0.065","2014-07-11 10:00"
"Stockton","Illinois","Jo Daviess","","","42.2869","-89.9997","0.067","2014-06-06 12:00"
"LARSEN JUNIOR HIGH","Illinois","Kane","Elgin","Chicago-Naperville-Joliet, IL-IN-WI","42.049148","-88.273029","0.066","2014-05-31 10:00"
"CAMP LOGAN TRAILER","Illinois","Lake","Zion","Chicago-Naperville-Joliet, IL-IN-WI","42.467573","-87.810047","0.073","2014-06-14 14:00"
"CARY GROVE HS","Illinois","McHenry","Cary","Chicago-Naperville-Joliet, IL-IN-WI","42.221442","-88.242207","0.067","2014-06-06 11:00"
"ISU HARRIS PHYSICAL PLANT","Illinois","McLean","Normal","Bloomington-Normal, IL","40.518735","-88.996896","0.066","2014-05-21 11:00"
"IEPA TRAILER","Illinois","Macon","Decatur","Decatur, IL","39.866834","-88.925594","0.067","2014-09-26 10:00"
"IEPA TRAILER","Illinois","Macoupin","Nilwood","St. Louis, MO-IL","39.396075","-89.809739","0.063","2014-08-04 09:00"
"CLARA BARTON SCHOOL","Illinois","Madison","Alton","St. Louis, MO-IL","38.890186","-90.148031","0.072","2014-09-26 10:00"
"SOUTHWEST CABLE TV","Illinois","Madison","Maryville","St. Louis, MO-IL","38.726573","-89.959963","0.07","2014-05-06 12:00"
"WATER PLANT","Illinois","Madison","Wood River","St. Louis, MO-IL","38.860669","-90.105851","0.07","2014-08-25 10:00"
"Alhambra","Illinois","Madison","","St. Louis, MO-IL","38.869","-89.6228","0.068","2014-05-06 11:00"
"FIRESTATION","Illinois","Peoria","Peoria","Peoria, IL","40.68742","-89.606943","0.064","2014-05-06 14:00"
"PEORIA HEIGHTS HS","Illinois","Peoria","Peoria Heights","Peoria, IL","40.745504","-89.585869","0.064","2014-05-24 11:00"
"IEPA TRAILER","Illinois","Randolph","","","38.176278","-89.788459","0.071","2014-05-06 12:00"
"ROCK ISLAND ARSENAL","Illinois","Rock Island","Rock Island Arsenal (U.S. Army)","Davenport-Moline-Rock Island, IA-IL","41.514727","-90.51735","0.062","2014-08-09 12:00"
"IEPA-RAPS TRAILER","Illinois","Saint Clair","East Saint Louis","St. Louis, MO-IL","38.612034","-90.160477","0.067","2014-09-30 11:00"
"Illinois Building State Fairgrounds","Illinois","Sangamon","Springfield","Springfield, IL","39.831522","-89.640926","0.059","2014-08-04 10:00"
"COM ED TRAINING CENTER","Illinois","Will","Braidwood","Chicago-Naperville-Joliet, IL-IN-WI","41.221537","-88.190967","0.064","2014-08-02 11:00"
"MAPLE ELEMENTARY SCHOOL","Illinois","Winnebago","Loves Park","Rockford, IL","42.334982","-89.037775","0.07","2014-06-06 11:00"
"","Indiana","Allen","Leo-Cedarville","Fort Wayne, IN","41.221418","-85.016821","0.063","2014-06-06 11:00"
"Ft. Wayne- Beacon St.","Indiana","Allen","Fort Wayne","Fort Wayne, IN","41.094965","-85.101816","0.063","2014-04-21 10:00"
"","Indiana","Bartholomew","Hope","Columbus, IN","39.294322","-85.766816","0.067","2014-04-18 11:00"
"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","Indiana","Boone","","Indianapolis-Carmel, IN","39.997484","-86.395172","0.066","2014-04-20 11:00"
"Helmsburg","Indiana","Brown","","Indianapolis-Carmel, IN","39.263914","-86.292269","0.058","2014-05-20 12:00"
"Flora-Flora Airport","Indiana","Carroll","","Lafayette, IN","40.540455","-86.553035","0.064","2014-06-09 11:00"
"Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","Indiana","Clark","","Louisville/Jefferson County, KY-IN","38.393833","-85.664167","0.066","2014-04-18 14:00"
"Albany- Albany Elem. Sch.","Indiana","Delaware","Albany","Muncie, IN","40.300015","-85.245367","0.054","2014-05-26 12:00"
"Bristol- Bristol Elem. Sch.","Indiana","Elkhart","Bristol","Elkhart-Goshen, IN","41.71805","-85.83055","0.055","2014-05-25 12:00"
"New Albany- Green Valley Elem. Sch.","Indiana","Floyd","New Albany","Louisville/Jefferson County, KY-IN","38.308056","-85.834167","0.066","2014-06-06 11:00"
"Plummer, 2500 S. W- Citizens gas Plummer maintenance faciliy","Indiana","Greene","","Bloomington, IN","38.985578","-86.99012","0.064","2014-06-27 10:00"
"Our Lady of Grace- Noblesville","Indiana","Hamilton","Noblesville","Indianapolis-Carmel, IN","40.068297","-85.992451","0.058","2014-05-07 11:00"
"Fortville- Fortville Municipal Building","Indiana","Hancock","Fortville","Indianapolis-Carmel, IN","39.935041","-85.840471","0.053","2014-07-22 11:00"
"AVON SCHOOL'S BUS BARN- 255 S. SR 267 Avon, IN","Indiana","Hendricks","Avon","Indianapolis-Carmel, IN","39.759003","-86.397124","0.057","2014-04-20 13:00"
"Roanoke- Roanoke Elem. School","Indiana","Huntington","Roanoke","Huntington, IN","40.96071","-85.379842","0.056","2014-04-20 12:00"
"Brownstown- 225 W & 200 N. Water facility","Indiana","Jackson","","Seymour, IN","38.920844","-86.080489","0.064","2014-06-06 11:00"
"Indian Creek Elementary School in Trafalgar, DUE SOUTH OF INDIANAPOLIS","Indiana","Johnson","Trafalgar","Indianapolis-Carmel, IN","39.417243","-86.152363","0.056","2014-06-08 11:00"
"Vincennes","Indiana","Knox","","Vincennes, IN","38.7408","-87.4853","0.062","2014-06-06 11:00"
"Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","Indiana","Lake","Gary","Chicago-Naperville-Joliet, IL-IN-WI","41.60668","-87.304729","0.067","2014-07-20 10:00"
"Whiting- Whiting HS","Indiana","Lake","Whiting","Chicago-Naperville-Joliet, IL-IN-WI","41.6814","-87.494734","0.065","2014-08-08 14:00"
"HAMMOND CAAP- Hammond- 141st St.","Indiana","Lake","Hammond","Chicago-Naperville-Joliet, IL-IN-WI","41.63946","-87.493623","0.067","2014-05-31 12:00"
"Michigan City- 4th Street  NIPSCO Gas Station- Michigan City 4th St.","Indiana","LaPorte","Michigan City","Michigan City-La Porte, IN","41.717022","-86.907743","0.07","2014-06-17 12:00"
"LAPORTE OZONE SITE AT WATER TREATMENT PLANT","Indiana","LaPorte","La Porte","Michigan City-La Porte, IN","41.629098","-86.684615","0.061","2014-08-02 11:00"
"SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109","Indiana","Madison","","Anderson, IN","40.002547","-85.656937","0.054","2014-06-03 11:00"
"Indpls.- Ft. Harrison","Indiana","Marion","Lawrence","Indianapolis-Carmel, IN","39.858922","-86.021317","0.066","2014-07-22 10:00"
"Indpls- Harding St.","Indiana","Marion","Indianapolis (Remainder)","Indianapolis-Carmel, IN","39.749019","-86.186314","0.066","2014-06-09 10:00"
"Indpls.- E. 16th St.","Indiana","Marion","Indianapolis (Remainder)","Indianapolis-Carmel, IN","39.789486","-86.06085","0.065","2014-08-04 10:00"
"Indpls- Washington Park/  in parking lot next to police station","Indiana","Marion","Indianapolis (Remainder)","Indianapolis-Carmel, IN","39.811097","-86.114469","0.061","2014-04-18 11:00"
"Indianapolis- I 70","Indiana","Marion","Indianapolis (Remainder)","Indianapolis-Carmel, IN","39.787933","-86.13088","0.061","2014-05-26 12:00"
"Monrovia- Monrovia HS.","Indiana","Morgan","Monrovia","Indianapolis-Carmel, IN","39.575634","-86.477893","0.064","2014-05-06 14:00"
"Leopold- Perry Central HS","Indiana","Perry","","","38.113159","-86.603594","0.067","2014-07-11 10:00"
"Ogden Dunes- Water Treatment Plant","Indiana","Porter","Ogden Dunes (Wickliffe)","Chicago-Naperville-Joliet, IL-IN-WI","41.617558","-87.199248","0.071","2014-07-20 11:00"
"VALPARAISO","Indiana","Porter","","Chicago-Naperville-Joliet, IL-IN-WI","41.510293","-87.038546","0.067","2014-07-07 11:00"
"ST. PHILLIPS- St. Phillips road CAAP trailer","Indiana","Posey","","Evansville, IN-KY","38.005289","-87.718429","0.065","2014-04-20 11:00"
"Potato Creek State Park","Indiana","St. Joseph","","South Bend-Mishawaka, IN-MI","41.551696","-86.370589","0.059","2014-06-06 12:00"
"SOUTH BEND-Shields Dr.","Indiana","St. Joseph","South Bend","South Bend-Mishawaka, IN-MI","41.696692","-86.214683","0.067","2014-06-06 12:00"
"Granger-Beckley St.","Indiana","St. Joseph","Granger","South Bend-Mishawaka, IN-MI","41.75487","-86.11009","0.064","2014-06-06 11:00"
"TRITON Middle SCHOOL, NORTH OF FAIRLAND","Indiana","Shelby","","Indianapolis-Carmel, IN","39.613423","-85.870648","0.062","2014-07-22 10:00"
"Inglefield/ Scott School","Indiana","Vanderburgh","","Evansville, IN-KY","38.113947","-87.536957","0.07","2014-08-04 09:00"
"Evansville- Buena Vista","Indiana","Vanderburgh","Evansville","Evansville, IN-KY","38.013248","-87.577856","0.068","2014-05-04 10:00"
"TERRE HAUTE CAAP/ McLean High School","Indiana","Vigo","Terre Haute","Terre Haute, IN","39.48615","-87.401398","0.062","2014-05-30 12:00"
"Sandcut/  SITE LOCATED BY HOME BEHIND SHED.","Indiana","Vigo","","Terre Haute, IN","39.560556","-87.313056","0.056","2014-04-19 12:00"
"Salamonie Reservoir","Indiana","Wabash","","Wabash, IN","40.816","-85.6611","0.066","2014-05-25 10:00"
"Boonville-  Boonville HS","Indiana","Warrick","Boonville","Evansville, IN-KY","38.052003","-87.278337","0.065","2014-08-04 09:00"
"Lynnville- Tecumseh HS","Indiana","Warrick","","Evansville, IN-KY","38.194501","-87.341396","0.064","2014-07-11 10:00"
"Dayville","Indiana","Warrick","","Evansville, IN-KY","37.954511","-87.321939","0.066","2014-08-04 09:00"
"WAVERLY AIRPORT SITE","Iowa","Bremer","Waverly","Waterloo-Cedar Falls, IA","42.743056","-92.513056","0.061","2014-06-11 09:00"
"WAVERLY AIRPORT SITE","Iowa","Bremer","Waverly","Waterloo-Cedar Falls, IA","42.743056","-92.513056","0.062","2014-06-11 10:00"
"CLINTON, RAINBOW PARK","Iowa","Clinton","Clinton","Clinton, IA","41.874999","-90.177574","0.065","2014-06-07 09:00"
"CLINTON, RAINBOW PARK","Iowa","Clinton","Clinton","Clinton, IA","41.874999","-90.177574","0.065","2014-06-07 09:00"
"","Iowa","Harrison","","Omaha-Council Bluffs, NE-IA","41.832256","-95.928185","0.063","2014-04-12 10:00"
"","Iowa","Harrison","","Omaha-Council Bluffs, NE-IA","41.832256","-95.928185","0.063","2014-05-24 10:00"
"PISGAH, HIGHWAY MAINTENANCE","Iowa","Harrison","","Omaha-Council Bluffs, NE-IA","41.780261","-95.948435","0.062","2014-04-12 10:00"
"PISGAH, HIGHWAY MAINTENANCE","Iowa","Harrison","","Omaha-Council Bluffs, NE-IA","41.780261","-95.948435","0.063","2014-06-06 11:00"
"KIRKWOOD","Iowa","Linn","Cedar Rapids","Cedar Rapids, IA","41.910556","-91.651944","0.059","2014-04-19 12:00"
"KIRKWOOD","Iowa","Linn","Cedar Rapids","Cedar Rapids, IA","41.910556","-91.651944","0.059","2014-05-18 10:00"
"COGGON ELEMENTARY SCHOOL BLDG. NORTHERN LIMITS OF LINN COUNTY","Iowa","Linn","Coggon","Cedar Rapids, IA","42.281013","-91.526879","0.061","2014-05-18 10:00"
"COGGON ELEMENTARY SCHOOL BLDG. NORTHERN LIMITS OF LINN COUNTY","Iowa","Linn","Coggon","Cedar Rapids, IA","42.281013","-91.526879","0.061","2014-05-18 10:00"
"Public Health","Iowa","Linn","Cedar Rapids","Cedar Rapids, IA","41.97677","-91.68766","0.059","2014-04-20 10:00"
"Public Health","Iowa","Linn","Cedar Rapids","Cedar Rapids, IA","41.97677","-91.68766","0.06","2014-04-20 10:00"
"VIKING LAKE STATE PARK","Iowa","Montgomery","","","40.969112","-95.044951","0.059","2014-04-09 14:00"
"VIKING LAKE STATE PARK","Iowa","Montgomery","","","40.969112","-95.044951","0.06","2014-04-12 10:00"
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.","Iowa","Palo Alto","Emmetsburg","","43.123704","-94.693518","0.063","2014-06-10 11:00"
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.","Iowa","Palo Alto","Emmetsburg","","43.123704","-94.693518","0.063","2014-05-07 12:00"
"CARPENTER","Iowa","Polk","Des Moines","Des Moines-West Des Moines, IA","41.603159","-93.643118","0.061","2014-05-23 10:00"
"CARPENTER","Iowa","Polk","Des Moines","Des Moines-West Des Moines, IA","41.603159","-93.643118","0.061","2014-05-24 11:00"
"SCOTT COUNTY PARK","Iowa","Scott","Davenport","Davenport-Moline-Rock Island, IA-IL","41.699174","-90.521944","0.064","2014-09-26 11:00"
"SCOTT COUNTY PARK","Iowa","Scott","Davenport","Davenport-Moline-Rock Island, IA-IL","41.699174","-90.521944","0.064","2014-09-26 11:00"
"DAVENPORT, JEFFERSON SCH.","Iowa","Scott","Davenport","Davenport-Moline-Rock Island, IA-IL","41.530011","-90.587611","0.059","2014-06-06 10:00"
"DAVENPORT, JEFFERSON SCH.","Iowa","Scott","Davenport","Davenport-Moline-Rock Island, IA-IL","41.530011","-90.587611","0.059","2014-06-06 10:00"
"SLATER CITY HALL","Iowa","Story","Slater","Ames, IA","41.882867","-93.6878","0.062","2014-04-19 11:00"
"SLATER CITY HALL","Iowa","Story","Slater","Ames, IA","41.882867","-93.6878","0.061","2014-04-19 11:00"
"LAKE SUGEMA STATE PARK II","Iowa","Van Buren","","","40.695078","-92.006318","0.063","2014-09-27 10:00"
"LAKE SUGEMA STATE PARK II","Iowa","Van Buren","","","40.695078","-92.006318","0.063","2014-05-21 10:00"
"GRAVEL ROAD IN LAKE AQUABI STATE PARK","Iowa","Warren","","Des Moines-West Des Moines, IA","41.285533","-93.583983","0.06","2014-05-06 12:00"
"GRAVEL ROAD IN LAKE AQUABI STATE PARK","Iowa","Warren","","Des Moines-West Des Moines, IA","41.285533","-93.583983","0.06","2014-05-06 12:00"
"HERITAGE PARK","Kansas","Johnson","","Kansas City, MO-KS","38.838575","-94.746424","0.062","2014-08-05 08:00"
"Leavenworth","Kansas","Leavenworth","Leavenworth","Kansas City, MO-KS","39.327391","-94.95102","0.068","2014-05-04 10:00"
"CHANUTE","Kansas","Neosho","","","37.67696","-95.47594","0.062","2014-04-10 10:00"
"WICHITA HD","Kansas","Sedgwick","Wichita","Wichita, KS","37.702066","-97.314847","0.069","2014-04-23 11:00"
"Sedgwick Ozone","Kansas","Sedgwick","","Wichita, KS","37.897506","-97.492083","0.068","2014-09-26 10:00"
"KNI","Kansas","Shawnee","Topeka","Topeka, KS","39.024265","-95.711275","0.064","2014-03-15 10:00"
"PECK","Kansas","Sumner","","Wichita, KS","37.47689","-97.366399","0.067","2014-06-11 11:00"
"CEDAR BLUFF","Kansas","Trego","","","38.770081","-99.763424","0.068","2014-07-26 10:00"
"JFK","Kansas","Wyandotte","Kansas City","Kansas City, MO-KS","39.117219","-94.635605","0.063","2014-05-21 11:00"
"MIDDLESBORO","Kentucky","Bell","Middlesborough (corporate name for Middlesboro)","Middlesborough, KY","36.60843","-83.73694","0.062","2014-04-20 10:00"
"EAST BEND","Kentucky","Boone","","Cincinnati-Middletown, OH-KY-IN","38.91833","-84.852637","0.062","2014-06-07 10:00"
"ASHLAND PRIMARY (FIVCO)","Kentucky","Boyd","Ashland","Huntington-Ashland, WV-KY-OH","38.45934","-82.64041","0.065","2014-08-05 11:00"
"SHEPHERDSVILLE","Kentucky","Bullitt","Shepherdsville","Louisville/Jefferson County, KY-IN","37.98629","-85.71192","0.065","2014-08-01 11:00"
"NORTHERN KENTUCKY UNIVERSITY (NKU)","Kentucky","Campbell","Highland Heights","Cincinnati-Middletown, OH-KY-IN","39.021881","-84.47445","0.071","2014-04-21 13:00"
"GRAYSON LAKE","Kentucky","Carter","","","38.23887","-82.9881","0.06","2014-04-19 11:00"
"HOPKINSVILLE","Kentucky","Christian","","Clarksville, TN-KY","36.91171","-87.323337","0.065","2014-08-29 10:00"
"OWENSBORO PRIMARY","Kentucky","Daviess","","Owensboro, KY","37.780776","-87.075307","0.064","2014-04-20 10:00"
"Mammoth Cave National Park, Houchin Meadow","Kentucky","Edmonson","","Bowling Green, KY","37.13179","-86.142953","0.065","2014-08-04 09:00"
"LEXINGTON PRIMARY","Kentucky","Fayette","Lexington-Fayette (corporate name for Lexington)","Lexington-Fayette, KY","38.06503","-84.49761","0.065","2014-06-07 09:00"
"WORTHINGTON","Kentucky","Greenup","Worthington","Huntington-Ashland, WV-KY-OH","38.548136","-82.731163","0.061","2014-04-18 11:00"
"LEWISPORT","Kentucky","Hancock","Lewisport","Owensboro, KY","37.93829","-86.89719","0.066","2014-05-06 10:00"
"ELIZABETHTOWN","Kentucky","Hardin","Elizabethtown","Elizabethtown, KY","37.705612","-85.852629","0.062","2014-04-20 11:00"
"BASKETT","Kentucky","Henderson","","Evansville, IN-KY","37.8712","-87.46375","0.069","2014-08-27 10:00"
"Bates","Kentucky","Jefferson","Louisville","Louisville/Jefferson County, KY-IN","38.13784","-85.57648","0.065","2014-05-06 11:00"
"Watson Lane","Kentucky","Jefferson","Louisville","Louisville/Jefferson County, KY-IN","38.06091","-85.89804","0.064","2014-04-20 11:00"
"CANNONS LANE","Kentucky","Jefferson","Louisville","Louisville/Jefferson County, KY-IN","38.22876","-85.65452","0.068","2014-06-26 11:00"
"NICHOLASVILLE","Kentucky","Jessamine","Nicholasville","Lexington-Fayette, KY","37.89147","-84.58825","0.064","2014-07-11 11:00"
"SMITHLAND","Kentucky","Livingston","","Paducah, KY-IL","37.155392","-88.394024","0.065","2014-05-06 09:00"
"JACKSON PURCHASE (PADUCAH PRIMARY)","Kentucky","McCracken","Paducah","Paducah, KY-IL","37.05822","-88.57251","0.065","2014-05-24 10:00"
"Crockett","Kentucky","Morgan","","","37.9214","-83.0662","0.064","2014-04-19 10:00"
"BUCKNER","Kentucky","Oldham","Buckner","Louisville/Jefferson County, KY-IN","38.4002","-85.44428","0.068","2014-08-05 11:00"
"HAZARD","Kentucky","Perry","Hazard","","37.28329","-83.20932","0.061","2014-05-05 11:00"
"PIKEVILLE PRIMARY","Kentucky","Pike","Pikeville","","37.4826","-82.53532","0.063","2014-04-12 10:00"
"SOMERSET","Kentucky","Pulaski","Somerset","Somerset, KY","37.09798","-84.61152","0.063","2014-04-21 11:00"
"FRANKLIN","Kentucky","Simpson","Franklin","","36.708607","-86.566284","0.063","2014-04-24 10:00"
"Cadiz","Kentucky","Trigg","","Clarksville, TN-KY","36.7841","-87.8499","0.066","2014-05-04 12:00"
"ED SPEAR PARK (SMITHS GROVE)","Kentucky","Warren","Smiths Grove","Bowling Green, KY","37.04926","-86.21487","0.063","2014-06-26 09:00"
"Mackville","Kentucky","Washington","","","37.7046","-85.0485","0.065","2014-05-04 14:00"
"Mackville","Kentucky","Washington","","","37.7046","-85.0485","0.063","2014-04-20 11:00"
"Dutchtown","Louisiana","Ascension","","Baton Rouge, LA","30.233889","-90.968333","0.069","2014-05-03 09:00"
"Shreveport / Airport","Louisiana","Bossier","Shreveport","Shreveport-Bossier City, LA","32.53626","-93.74891","0.066","2014-05-16 11:00"
"Dixie","Louisiana","Caddo","","Shreveport-Bossier City, LA","32.676389","-93.859722","0.065","2014-05-16 10:00"
"Carlyss","Louisiana","Calcasieu","","Lake Charles, LA","30.143333","-93.371944","0.067","2014-05-04 10:00"
"Westlake","Louisiana","Calcasieu","Westlake (RR name West Lake)","Lake Charles, LA","30.261667","-93.284167","0.062","2014-07-06 09:00"
"Vinton","Louisiana","Calcasieu","Vinton","Lake Charles, LA","30.227778","-93.578333","0.066","2014-05-05 09:00"
"LSU","Louisiana","East Baton Rouge","Baton Rouge","Baton Rouge, LA","30.419763","-91.181996","0.075","2014-08-05 10:00"
"Capitol","Louisiana","East Baton Rouge","Baton Rouge","Baton Rouge, LA","30.46198","-91.17922","0.07","2014-03-10 10:00"
"Pride","Louisiana","East Baton Rouge","","Baton Rouge, LA","30.700921","-91.056135","0.068","2014-05-16 10:00"
"Bayou Plaquemine","Louisiana","Iberville","","Baton Rouge, LA","30.220556","-91.316111","0.061","2014-05-18 09:00"
"Carville","Louisiana","Iberville","","Baton Rouge, LA","30.206985","-91.129948","0.068","2014-05-18 09:00"
"Kenner","Louisiana","Jefferson","Kenner","New Orleans-Metairie-Kenner, LA","30.043573","-90.275091","0.071","2014-09-09 09:00"
"Lafayette / USGS","Louisiana","Lafayette","Lafayette","Lafayette, LA","30.2175","-92.051389","0.068","2014-06-11 12:00"
"Thibodaux","Louisiana","Lafourche","Thibodaux","Houma-Bayou Cane-Thibodaux, LA","29.763889","-90.765183","0.067","2014-04-20 10:00"
"French Settlement","Louisiana","Livingston","","Baton Rouge, LA","30.3125","-90.8125","0.073","2014-05-03 09:00"
"New Orleans / City Park","Louisiana","Orleans","New Orleans","New Orleans-Metairie-Kenner, LA","29.994444","-90.102778","0.068","2014-05-05 11:00"
"Monroe / Airport","Louisiana","Ouachita","Monroe","Monroe, LA","32.509713","-92.046093","0.059","2014-04-23 10:00"
"New Roads","Louisiana","Pointe Coupee","","Baton Rouge, LA","30.681736","-91.366172","0.071","2014-05-05 10:00"
"Meraux","Louisiana","St. Bernard","Meraux","New Orleans-Metairie-Kenner, LA","29.93961","-89.92388","0.071","2014-05-05 10:00"
"Hahnville","Louisiana","St. Charles","Hahnville","New Orleans-Metairie-Kenner, LA","29.984167","-90.410556","0.067","2014-05-22 10:00"
"Convent","Louisiana","St. James","","","29.994444","-90.82","0.067","2014-07-31 11:00"
"Garyville","Louisiana","St. John the Baptist","","New Orleans-Metairie-Kenner, LA","30.058333","-90.608333","0.068","2014-07-17 12:00"
"Madisonville","Louisiana","St. Tammany","","New Orleans-Metairie-Kenner, LA","30.429304","-90.199683","0.074","2014-05-17 09:00"
"Port Allen","Louisiana","West Baton Rouge","","Baton Rouge, LA","30.500643","-91.213556","0.066","2014-05-22 10:00"
"DURHAM FIRE STATION","Maine","Androscoggin","","Lewiston-Auburn, ME","43.974622","-70.124608","0.065","2014-09-05 11:00"
"MICMAC HEALTH DEPARTMENT","Maine","Aroostook","Presque Isle","","46.696431","-68.033006","0.049","2014-09-05 10:00"
"Ashland","Maine","Aroostook","","","46.6041","-68.4135","0.051","2014-04-10 14:00"
"PDO - Portland Deering Oaks","Maine","Cumberland","Portland","Portland-South Portland-Biddeford, ME","43.660246","-70.268965","0.064","2014-06-30 12:00"
"CETL - Cape Elizabeth Two Lights (State Park)","Maine","Cumberland","","Portland-South Portland-Biddeford, ME","43.561043","-70.207324","0.066","2014-09-05 10:00"
"TOP OF CADILLAC MTN (FENCED ENCLOSURE)","Maine","Hancock","","","44.351697","-68.22698","0.065","2014-06-09 16:00"
"MCFARLAND HILL Air Pollutant Research Site","Maine","Hancock","","","44.37705","-68.2609","0.062","2014-07-23 10:00"
"Gardiner, Pray Street School  (GPSS)","Maine","Kennebec","Gardiner","Augusta-Waterville, ME","44.230622","-69.785","0.057","2014-06-02 14:00"
"Marshall Point Lighthouse","Maine","Knox","","Rockland, ME","43.917955","-69.26059","0.062","2014-09-05 10:00"
"","Maine","Oxford","","","44.250922","-70.860605","0.053","2014-04-21 10:00"
"","Maine","Penobscot","","Bangor, ME","44.952043","-68.647677","0.047","2014-04-16 10:00"
"WLBZ TV Transmitter Building - Summit of Rider Bluff","Maine","Penobscot","","Bangor, ME","44.735978","-68.670752","0.054","2014-04-11 11:00"
"BOWDOINHAM, MERRYMEETING BAY, BROWN'S PT  (BMB)","Maine","Sagadahoc","","Portland-South Portland-Biddeford, ME","44.005","-69.82778","0.058","2014-06-09 14:00"
"Harbor Masters Office; Jonesport Public Landing","Maine","Washington","","","44.531907","-67.59587","0.054","2014-07-06 17:00"
"WBFD - West Buxton (Hollis) Fire Department","Maine","York","","Portland-South Portland-Biddeford, ME","43.656764","-70.629138","0.059","2014-05-12 09:00"
"SBP - Shapleigh Ball Park","Maine","York","","Portland-South Portland-Biddeford, ME","43.58889","-70.87734","0.061","2014-04-22 11:00"
"KPW - Kennebunkport Parson'd Way","Maine","York","Kennebunkport","Portland-South Portland-Biddeford, ME","43.343167","-70.471034","0.066","2014-07-08 10:00"
" Davidsonville","Maryland","Anne Arundel","","Baltimore-Towson, MD","38.9025","-76.653056","0.066","2014-08-05 10:00"
"Padonia","Maryland","Baltimore","Cockeysville","Baltimore-Towson, MD","39.462024","-76.631261","0.067","2014-07-01 10:00"
"Essex","Maryland","Baltimore","Essex","Baltimore-Towson, MD","39.310833","-76.474444","0.068","2014-07-08 09:00"
"Calvert","Maryland","Calvert","Prince Frederick","Washington-Arlington-Alexandria, DC-VA-MD-WV","38.536722","-76.617194","0.07","2014-08-04 11:00"
"South Carroll","Maryland","Carroll","Eldersburg","Baltimore-Towson, MD","39.444167","-77.041667","0.064","2014-04-12 10:00"
"Fair Hill Natural Resource Management Area","Maryland","Cecil","Rising Sun","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","39.701111","-75.86","0.074","2014-08-26 11:00"
"Southern Maryland","Maryland","Charles","Charlotte Hall","Washington-Arlington-Alexandria, DC-VA-MD-WV","38.504167","-76.811944","0.067","2014-04-11 11:00"
"Horn Point","Maryland","Dorchester","Cambridge","Cambridge, MD","38.587635","-76.140449","0.065","2014-05-19 10:00"
"Blackwater NWR","Maryland","Dorchester","","Cambridge, MD","38.445","-76.1114","0.065","2014-05-20 13:00"
