"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"Chico - East Avenue","California","Butte","Chico","Chico, CA","39.761538","-121.84162","0.066","2014-07-08 11:00"
"SAN ANDREAS - GOLD STRIKE ROAD","California","Calaveras","San Andreas","","38.201852","-120.681567","0.069","2014-06-30 12:00"
"Colusa-Sunrise Blvd","California","Colusa","Colusa","","39.202935","-122.017728","0.061","2014-05-31 11:00"
"Concord","California","Contra Costa","Concord","San Francisco-Oakland-Fremont, CA","37.936013","-122.026154","0.067","2014-10-05 10:00"
"Bethel Island","California","Contra Costa","Bethel Island","San Francisco-Oakland-Fremont, CA","38.006311","-121.641918","0.069","2014-10-06 11:00"
"San Pablo - Rumrill","California","Contra Costa","San Pablo","San Francisco-Oakland-Fremont, CA","37.9604","-122.356811","0.055","2014-10-04 09:00"
"San Ramon","California","Contra Costa","San Ramon","San Francisco-Oakland-Fremont, CA","37.743649","-121.934188","0.072","2014-10-04 10:00"
" 3111 GOLD NUGGET WAY, PLACERVILLE, CA","California","El Dorado","Placerville","Sacramento--Arden-Arcade--Roseville, CA","38.725282","-120.821916","0.082","2014-07-05 13:00"
"LITTLE NORWAY / ECHO SUMMIT","California","El Dorado","","Sacramento--Arden-Arcade--Roseville, CA","38.81161","-120.033084","0.068","2014-05-27 18:00"
"3/4 MILES EAST OF COOL ON HWY 196","California","El Dorado","","Sacramento--Arden-Arcade--Roseville, CA","38.890941","-121.003373","0.083","2014-08-27 11:00"
"Fresno-Drummond","California","Fresno","","Fresno, CA","36.705506","-119.741966","0.067","2014-04-19 11:00"
"Fresno - Garland","California","Fresno","Fresno","Fresno, CA","36.785322","-119.774174","0.086","2014-07-08 10:00"
"Fresno-SSP","California","Fresno","Fresno","Fresno, CA","36.841389","-119.874444","0.073","2014-05-16 10:00"
"Tranquillity","California","Fresno","","Fresno, CA","36.634225","-120.382331","0.065","2014-04-10 11:00"
"Clovis","California","Fresno","Clovis","Fresno, CA","36.819111","-119.717356","0.061","2014-03-20 11:00"
"720 N COLUSA STREET, WILLOWS","California","Glenn","","","39.533761","-122.191903","0.067","2014-06-05 11:00"
"EUREKA-JACOBS","California","Humboldt","Eureka","Eureka-Arcata-Fortuna, CA","40.776944","-124.1775","0.043","2014-04-22 08:00"
"Eureka-Humboldt Hill","California","Humboldt","","Eureka-Arcata-Fortuna, CA","40.71528","-124.20139","0.041","2014-03-11 22:00"
"CALEXICO HIGH SCHOOL  ARB (#1300698)","California","Imperial","Calexico","El Centro, CA","32.676186","-115.484144","0.078","2014-06-02 10:00"
"EL CENTRO-9TH STREET","California","Imperial","El Centro","El Centro, CA","32.79222","-115.56306","0.078","2014-05-24 09:00"
"Niland-English Road","California","Imperial","","El Centro, CA","33.213611","-115.54528","0.069","2014-05-24 10:00"
"DEATH VALLEY NATIONAL MONUMENT NEAR NEVARES SPRINGS ACCESS ROAD","California","Inyo","","Bishop, CA","36.508611","-116.847778","0.069","2014-06-11 10:00"
"JOHNSON FARM, EDISON, CA. 93320","California","Kern","","Bakersfield, CA","35.346094","-118.852037","0.089","2014-04-15 10:00"
"Maricopa","California","Kern","Maricopa","Bakersfield, CA","35.054444","-119.403889","0.07","2014-04-21 10:00"
"Mojave","California","Kern","Mojave","Bakersfield, CA","35.050551","-118.147294","0.089","2014-06-08 17:00"
"Bakersfield-California Avenue","California","Kern","Bakersfield","Bakersfield, CA","35.356092","-119.041209","0.08","2014-08-29 11:00"
"3311 MANOR ST., OILDALE","California","Kern","Oildale","Bakersfield, CA","35.438869","-119.016765","0.073","2014-07-25 10:00"
"","California","Kern","Bakersfield","Bakersfield, CA","35.331302","-119.000974","0.07","2014-05-30 10:00"
"Arvin - Di Giorgio","California","Kern","Arvin","Bakersfield, CA","35.23668","-118.789424","0.086","2014-08-08 10:00"
"548 WALKER ST., SHAFTER, CA., 93263","California","Kern","Shafter","Bakersfield, CA","35.503587","-119.272606","0.079","2014-06-05 11:00"
"SANTA ROSA RANCHIERIA","California","Kings","","Hanford-Corcoran, CA","36.233274","-119.766212","0.077","2014-09-12 10:00"
"Hanford","California","Kings","Hanford","Hanford-Corcoran, CA","36.314399","-119.64457","0.078","2014-05-16 11:00"
"LAKEPORT-LAKEPORT BLVD.","California","Lake","Lakeport","Clearlake, CA","39.0327","-122.92229","0.058","2014-04-21 11:00"
"Azusa","California","Los Angeles","Azusa","Los Angeles-Long Beach-Santa Ana, CA","34.1365","-117.92391","0.075","2014-06-08 10:00"
"Glendora","California","Los Angeles","Glendora","Los Angeles-Long Beach-Santa Ana, CA","34.14435","-117.85036","0.088","2014-05-26 10:00"
"West Los Angeles","California","Los Angeles","West Los Angeles","Los Angeles-Long Beach-Santa Ana, CA","34.05111","-118.45636","0.054","2014-02-23 11:00"
"Burbank","California","Los Angeles","Burbank","Los Angeles-Long Beach-Santa Ana, CA","34.17605","-118.31712","0.057","2014-03-29 10:00"
"Los Angeles (Main St.)","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Santa Ana, CA","34.06659","-118.22688","0.053","2014-03-15 10:00"
"Reseda","California","Los Angeles","Reseda","Los Angeles-Long Beach-Santa Ana, CA","34.19925","-118.53276","0.056","2014-03-25 12:00"
"Compton","California","Los Angeles","Compton","Los Angeles-Long Beach-Santa Ana, CA","33.901389","-118.205","0.051","2014-03-09 10:00"
"Pico Rivera #2","California","Los Angeles","Pico Rivera","Los Angeles-Long Beach-Santa Ana, CA","34.01194","-118.06995","0.062","2014-02-23 10:00"
"","California","Los Angeles","Pomona","Los Angeles-Long Beach-Santa Ana, CA","34.06703","-117.7514","0.059","2014-03-29 10:00"
"Pasadena","California","Los Angeles","Pasadena","Los Angeles-Long Beach-Santa Ana, CA","34.1326","-118.1272","0.057","2014-03-09 10:00"
"","California","Los Angeles","Long Beach","Los Angeles-Long Beach-Santa Ana, CA","33.8025","-118.22","0.051","2014-01-30 00:00"
"LAX Hastings","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Santa Ana, CA","33.9508","-118.43043","0.057","2014-03-15 11:00"
"Santa Clarita","California","Los Angeles","Santa Clarita","Los Angeles-Long Beach-Santa Ana, CA","34.38344","-118.5284","0.058","2014-03-16 10:00"
"Antelope Valley Air Monitoring Station","California","Los Angeles","Lancaster","Los Angeles-Long Beach-Santa Ana, CA","34.671394","-118.131456","0.081","2014-05-03 11:00"
"Madera-Pump Yard","California","Madera","Madera","Madera, CA","36.866667","-120.01","0.076","2014-06-06 11:00"
"Picayune Tribal Office","California","Madera","","Madera, CA","37.2136","-119.699065","0.076","2014-06-08 11:00"
"","California","Madera","Madera","Madera, CA","36.953256","-120.034203","0.051","2014-02-23 10:00"
"San Rafael","California","Marin","San Rafael","San Francisco-Oakland-Fremont, CA","37.97231","-122.520004","0.064","2014-10-04 10:00"
"Yosemite National Park, Turtleback Dome","California","Mariposa","","","37.71325","-119.7062","0.077","2014-09-13 13:00"
"JERSEYDALE SUMMER OZONE SITE","California","Mariposa","","","37.549928","-119.844591","0.074","2014-06-29 17:00"
"UKIAH-306 GOBBI STREET","California","Mendocino","Ukiah","Ukiah, CA","39.14566","-123.20298","0.052","2014-09-06 11:00"
"Merced-Coffee","California","Merced","","Merced, CA","37.281598","-120.434992","0.039","2014-01-05 10:00"
"CARMEL VALLEY","California","Monterey","Carmel Valley Village","Salinas, CA","36.495767","-121.731571","0.063","2014-05-01 10:00"
"King City 2","California","Monterey","King City","Salinas, CA","36.209286","-121.126371","0.062","2014-05-01 10:00"
"Salinas 3","California","Monterey","Salinas","Salinas, CA","36.69676","-121.637182","0.059","2014-05-13 10:00"
"Napa - Jefferson St.","California","Napa","Napa","Napa, CA","38.310942","-122.296189","0.062","2014-10-03 10:00"
"Grass Valley - Litton Bldg","California","Nevada","Grass Valley","Truckee-Grass Valley, CA","39.234331","-121.056591","0.075","2014-05-15 14:00"
